Topic,Paper ID,Title,Authors,First Author,URL,Citations,Published
"Neural Compression","2110.09443","Beltrami Flow and Neural Diffusion on Graphs","Benjamin Paul Chamberlain, James Rowbottom, Davide Eynard, Francesco Di Giovanni, Xiaowen Dong, Michael M Bronstein","Benjamin Paul Chamberlain","http://arxiv.org/abs/2110.09443",100,"2021-10-18"
"Neural Compression","2206.10177","TCJA-SNN: Temporal-Channel Joint Attention for Spiking Neural Networks","Rui-Jie Zhu, Malu Zhang, Qihang Zhao, Haoyu Deng, Yule Duan, Liang-Jian Deng","Rui-Jie Zhu","http://arxiv.org/abs/2206.10177",99,"2022-06-21"
"Neural Compression","2009.01174","Transform Quantization for CNN (Convolutional Neural Network) Compression","Sean I. Young, Wang Zhe, David Taubman, Bernd Girod","Sean I. Young","http://arxiv.org/abs/2009.01174",96,"2020-09-02"
"Neural Compression","2302.05071","EVC: Towards Real-Time Neural Image Compression with Mask Decay","Guo-Hua Wang, Jiahao Li, Bin Li, Yan Lu","Guo-Hua Wang","http://arxiv.org/abs/2302.05071",95,"2023-02-10"
"Neural Compression","2104.05168","Soft then Hard: Rethinking the Quantization in Neural Image Compression","Zongyu Guo, Zhizheng Zhang, Runsen Feng, Zhibo Chen","Zongyu Guo","http://arxiv.org/abs/2104.05168",93,"2021-04-12"
"Neural Compression","2105.14444","NAS-BERT: Task-Agnostic and Adaptive-Size BERT Compression with Neural Architecture Search","Jin Xu, Xu Tan, Renqian Luo, Kaitao Song, Jian Li, Tao Qin, Tie-Yan Liu","Jin Xu","http://arxiv.org/abs/2105.14444",92,"2021-05-30"
"Neural Compression","2004.12273","Reachable Set Estimation for Neural Network Control Systems: A Simulation-Guided Approach","Weiming Xiang, Hoang-Dung Tran, Xiaodong Yang, Taylor T. Johnson","Weiming Xiang","http://arxiv.org/abs/2004.12273",91,"2020-04-26"
"Neural Compression","2306.09818","HiNeRV: Video Compression with Hierarchical Encoding-based Neural Representation","Ho Man Kwan, Ge Gao, Fan Zhang, Andrew Gower, David Bull","Ho Man Kwan","http://arxiv.org/abs/2306.09818",88,"2023-06-16"
"Neural Compression","2105.02451","Learning Skeletal Articulations with Neural Blend Shapes","Peizhuo Li, Kfir Aberman, Rana Hanocka, Libin Liu, Olga Sorkine-Hornung, Baoquan Chen","Peizhuo Li","http://arxiv.org/abs/2105.02451",87,"2021-05-06"
"Neural Compression","2009.08459","Likelihood-free inference with neural compression of DES SV weak lensing map statistics","Niall Jeffrey, Justin Alsing, François Lanusse","Niall Jeffrey","http://arxiv.org/abs/2009.08459",85,"2020-09-17"
"Neural Compression","2109.02869","The Sensory Neuron as a Transformer: Permutation-Invariant Neural Networks for Reinforcement Learning","Yujin Tang, David Ha","Yujin Tang","http://arxiv.org/abs/2109.02869",84,"2021-09-07"
"Neural Compression","2011.11911","Generalization techniques of neural networks for fluid flow estimation","Masaki Morimoto, Kai Fukami, Kai Zhang, Koji Fukagata","Masaki Morimoto","http://arxiv.org/abs/2011.11911",84,"2020-11-24"
"Neural Compression","2110.14633","Similarity and Matching of Neural Network Representations","Adrián Csiszárik, Péter Kőrösi-Szabó, Ákos K. Matszangosz, Gergely Papp, Dániel Varga","Adrián Csiszárik","http://arxiv.org/abs/2110.14633",83,"2021-10-27"
"Neural Compression","2007.04965","A Study on Encodings for Neural Architecture Search","Colin White, Willie Neiswanger, Sam Nolen, Yash Savani","Colin White","http://arxiv.org/abs/2007.04965",82,"2020-07-09"
"Neural Compression","2307.01944","Text + Sketch: Image Compression at Ultra Low Rates","Eric Lei, Yiğit Berkay Uslu, Hamed Hassani, Shirin Saeedi Bidokhti","Eric Lei","http://arxiv.org/abs/2307.01944",80,"2023-07-04"
"Neural Compression","2102.04373","Partition-based formulations for mixed-integer optimization of trained ReLU neural networks","Calvin Tsay, Jan Kronqvist, Alexander Thebelt, Ruth Misener","Calvin Tsay","http://arxiv.org/abs/2102.04373",80,"2021-02-08"
"Neural Compression","2003.10184","Learning Better Lossless Compression Using Lossy Compression","Fabian Mentzer, Luc Van Gool, Michael Tschannen","Fabian Mentzer","http://arxiv.org/abs/2003.10184",80,"2020-03-23"
"Neural Compression","2502.01654","Predicting concentration levels of air pollutants by transfer learning and recurrent neural network","Iat Hang Fong, Tengyue Li, Simon Fong, Raymond K. Wong, Antonio J. Tallón-Ballesteros","Iat Hang Fong","http://arxiv.org/abs/2502.01654",78,"2025-01-30"
"Neural Compression","2108.11898","Supervised Compression for Resource-Constrained Edge Computing Systems","Yoshitomo Matsubara, Ruihan Yang, Marco Levorato, Stephan Mandt","Yoshitomo Matsubara","http://arxiv.org/abs/2108.11898",78,"2021-08-21"
"Neural Compression","2103.15726","Slimmable Compressive Autoencoders for Practical Neural Image Compression","Fei Yang, Luis Herranz, Yongmei Cheng, Mikhail G. Mozerov","Fei Yang","http://arxiv.org/abs/2103.15726",78,"2021-03-29"
"Neural Compression","2101.06341","Advances In Video Compression System Using Deep Neural Network: A Review And Case Studies","Dandan Ding, Zhan Ma, Di Chen, Qingshuang Chen, Zoe Liu, Fengqing Zhu","Dandan Ding","http://arxiv.org/abs/2101.06341",77,"2021-01-16"
"Neural Compression","2110.12764","Contrastive Learning for Neural Topic Model","Thong Nguyen, Anh Tuan Luu","Thong Nguyen","http://arxiv.org/abs/2110.12764",77,"2021-10-25"
"Neural Compression","2102.03147","Learning Conjoint Attentions for Graph Neural Nets","Tiantian He, Yew-Soon Ong, Lu Bai","Tiantian He","http://arxiv.org/abs/2102.03147",76,"2021-02-05"
"Neural Compression","2205.11141","OPQ: Compressing Deep Neural Networks with One-shot Pruning-Quantization","Peng Hu, Xi Peng, Hongyuan Zhu, Mohamed M. Sabry Aly, Jie Lin","Peng Hu","http://arxiv.org/abs/2205.11141",75,"2022-05-23"
"Neural Compression","2203.04963","Neural Data-Dependent Transform for Learned Image Compression","Dezhao Wang, Wenhan Yang, Yueyu Hu, Jiaying Liu","Dezhao Wang","http://arxiv.org/abs/2203.04963",74,"2022-03-09"
"Neural Compression","2307.15421","MLIC++: Linear Complexity Multi-Reference Entropy Modeling for Learned Image Compression","Wei Jiang, Jiayu Yang, Yongqi Zhai, Feng Gao, Ronggang Wang","Wei Jiang","http://arxiv.org/abs/2307.15421",72,"2023-07-28"
"Neural Compression","2402.05964","A Survey on Transformer Compression","Yehui Tang, Yunhe Wang, Jianyuan Guo, Zhijun Tu, Kai Han, Hailin Hu, Dacheng Tao","Yehui Tang","http://arxiv.org/abs/2402.05964",71,"2024-02-05"
"Neural Compression","2011.06220","Artificial Neural Variability for Deep Learning: On Overfitting, Noise Memorization, and Catastrophic Forgetting","Zeke Xie, Fengxiang He, Shaopeng Fu, Issei Sato, Dacheng Tao, Masashi Sugiyama","Zeke Xie","http://arxiv.org/abs/2011.06220",69,"2020-11-12"
"Neural Compression","2110.04840","Heavy Ball Neural Ordinary Differential Equations","Hedi Xia, Vai Suliafu, Hangjie Ji, Tan M. Nguyen, Andrea L. Bertozzi, Stanley J. Osher, Bao Wang","Hedi Xia","http://arxiv.org/abs/2110.04840",69,"2021-10-10"
"Neural Compression","2301.13694","Are Defenses for Graph Neural Networks Robust?","Felix Mujkanovic, Simon Geisler, Stephan Günnemann, Aleksandar Bojchevski","Felix Mujkanovic","http://arxiv.org/abs/2301.13694",69,"2023-01-31"
"Neural Compression","2112.11312","Implicit Neural Video Compression","Yunfan Zhang, Ties van Rozendaal, Johann Brehmer, Markus Nagel, Taco Cohen","Yunfan Zhang","http://arxiv.org/abs/2112.11312",68,"2021-12-21"
"Neural Compression","2312.02753","C3: High-performance and low-complexity neural compression from a single image or video","Hyunjik Kim, Matthias Bauer, Lucas Theis, Jonathan Richard Schwarz, Emilien Dupont","Hyunjik Kim","http://arxiv.org/abs/2312.02753",66,"2023-12-05"
"Neural Compression","2406.07520","Neural Gaffer: Relighting Any Object via Diffusion","Haian Jin, Yuan Li, Fujun Luan, Yuanbo Xiangli, Sai Bi, Kai Zhang, Zexiang Xu, Jin Sun, Noah Snavely","Haian Jin","http://arxiv.org/abs/2406.07520",65,"2024-06-11"
"Neural Compression","2212.04386","Multi-View Mesh Reconstruction with Neural Deferred Shading","Markus Worchel, Rodrigo Diaz, Weiwen Hu, Oliver Schreer, Ingo Feldmann, Peter Eisert","Markus Worchel","http://arxiv.org/abs/2212.04386",64,"2022-12-08"
"Neural Compression","2112.09300","Towards End-to-End Image Compression and Analysis with Transformers","Yuanchao Bai, Xu Yang, Xianming Liu, Junjun Jiang, Yaowei Wang, Xiangyang Ji, Wen Gao","Yuanchao Bai","http://arxiv.org/abs/2112.09300",63,"2021-12-17"
"Neural Compression","2112.03968","Learning Theory Can (Sometimes) Explain Generalisation in Graph Neural Networks","Pascal Mattia Esser, Leena Chennuru Vankadara, Debarghya Ghoshdastidar","Pascal Mattia Esser","http://arxiv.org/abs/2112.03968",63,"2021-12-07"
"Neural Compression","2003.09671","On Information Plane Analyses of Neural Network Classifiers -- A Review","Bernhard C. Geiger","Bernhard C. Geiger","http://arxiv.org/abs/2003.09671",62,"2020-03-21"
"Neural Compression","2004.11293","Intermittent Inference with Nonuniformly Compressed Multi-Exit Neural Network for Energy Harvesting Powered Devices","Yawen Wu, Zhepeng Wang, Zhenge Jia, Yiyu Shi, Jingtong Hu","Yawen Wu","http://arxiv.org/abs/2004.11293",62,"2020-04-23"
"Neural Compression","2506.22084","Transformers are Graph Neural Networks","Chaitanya K. Joshi","Chaitanya K. Joshi","http://arxiv.org/abs/2506.22084",60,"2025-06-27"
"Neural Compression","2312.17199","Tractable Function-Space Variational Inference in Bayesian Neural Networks","Tim G. J. Rudner, Zonghao Chen, Yee Whye Teh, Yarin Gal","Tim G. J. Rudner","http://arxiv.org/abs/2312.17199",58,"2023-12-28"
"Neural Compression","2209.14733","Hyper-Representations as Generative Models: Sampling Unseen Neural Network Weights","Konstantin Schürholt, Boris Knyazev, Xavier Giró-i-Nieto, Damian Borth","Konstantin Schürholt","http://arxiv.org/abs/2209.14733",58,"2022-09-29"
"Neural Compression","2205.07848","Power and limitations of single-qubit native quantum neural networks","Zhan Yu, Hongshun Yao, Mujin Li, Xin Wang","Zhan Yu","http://arxiv.org/abs/2205.07848",57,"2022-05-16"
"Neural Compression","2006.02361","Optimizing Neural Networks via Koopman Operator Theory","Akshunna S. Dogra, William T Redman","Akshunna S. Dogra","http://arxiv.org/abs/2006.02361",56,"2020-06-03"
"Neural Compression","2012.00307","Edge Deep Learning for Neural Implants","Xilin Liu, Andrew G. Richardson","Xilin Liu","http://arxiv.org/abs/2012.00307",56,"2020-12-01"
"Neural Compression","2105.01683","A reconfigurable neural network ASIC for detector front-end data compression at the HL-LHC","Giuseppe Di Guglielmo, Farah Fahim, Christian Herwig, Manuel Blanco Valentin, Javier Duarte, Cristian Gingu, Philip Harris, James Hirschauer, Martin Kwok, Vladimir Loncar, Yingyi Luo, Llovizna Miranda, Jennifer Ngadiuba, Daniel Noonan, Seda Ogrenci-Memik, Maurizio Pierini, Sioni Summers, Nhan Tran","Giuseppe Di Guglielmo","http://arxiv.org/abs/2105.01683",56,"2021-05-04"
"Neural Compression","2107.11442","Compressing Neural Networks: Towards Determining the Optimal Layer-wise Decomposition","Lucas Liebenwein, Alaa Maalouf, Oren Gal, Dan Feldman, Daniela Rus","Lucas Liebenwein","http://arxiv.org/abs/2107.11442",54,"2021-07-23"
"Neural Compression","2502.20762","Towards Practical Real-Time Neural Video Compression","Zhaoyang Jia, Bin Li, Jiahao Li, Wenxuan Xie, Linfeng Qi, Houqiang Li, Yan Lu","Zhaoyang Jia","http://arxiv.org/abs/2502.20762",54,"2025-02-28"
